-22.10,-30.47,-27.07,12.57,-26.09,-13.25,21.93,-28.23,-38.42,-22.09,-29.73,-26.44,12.57,-26.74,-13.78,21.93,-27.41,-37.76,
-21.88,-32.62,-28.82,12.47,-26.17,-13.50,21.61,-30.68,-40.29,-21.87,-29.75,-26.52,12.47,-28.73,-15.55,21.61,-27.45,-37.72,
-21.28,-36.05,-31.64,12.18,-26.41,-14.12,20.80,-34.68,-43.18,-21.27,-29.77,-26.73,12.18,-31.97,-18.54,20.80,-27.56,-37.60,
-20.16,-40.55,-35.32,11.64,-26.81,-15.26,19.31,-40.05,-46.80,-20.16,-29.82,-27.10,11.64,-36.29,-22.65,19.32,-27.77,-37.36,
-18.41,-45.85,-39.59,10.78,-27.39,-16.96,17.10,-46.50,-50.76,-18.40,-29.88,-27.63,10.78,-41.47,-27.69,17.10,-28.09,-36.96,
-15.95,-51.54,-44.10,9.54,-28.09,-19.18,14.21,-53.45,-54.54,-15.95,-29.93,-28.26,9.54,-47.19,-33.39,14.21,-28.52,-36.32,
-12.78,-57.15,-48.43,7.87,-28.81,-21.79,10.81,-60.01,-57.51,-12.77,-29.97,-28.91,7.87,-53.11,-39.45,10.81,-29.01,-35.36,
-8.95,-62.03,-52.10,5.72,-29.44,-24.60,7.14,-64.99,-58.93,-8.94,-29.99,-29.48,5.72,-58.74,-45.48,7.14,-29.50,-34.02,
-4.61,-65.41,-54.59,3.09,-29.86,-27.41,3.46,-67.31,-58.28,-4.61,-30.00,-29.86,3.09,-63.51,-51.01,3.46,-29.86,-32.23,
0.00,-66.63,-55.47,-0.00,-30.00,-30.00,0.00,-66.66,-55.51,0.00,-30.00,-30.00,-0.00,-66.63,-55.47,0.00,-30.00,-30.00,
4.61,-65.39,-54.56,-3.46,-29.86,-32.23,-3.09,-63.54,-51.04,4.61,-30.00,-29.86,-3.46,-67.27,-58.24,-3.09,-29.86,-27.41,
8.94,-62.00,-52.04,-7.14,-29.50,-34.02,-5.72,-58.76,-45.51,8.94,-29.99,-29.47,-7.14,-64.94,-58.90,-5.72,-29.44,-24.61,
12.77,-57.12,-48.35,-10.81,-29.01,-35.37,-7.86,-53.12,-39.47,12.77,-29.97,-28.90,-10.81,-59.97,-57.47,-7.87,-28.81,-21.79,
15.94,-51.52,-44.01,-14.21,-28.51,-36.32,-9.54,-47.20,-33.41,15.94,-29.93,-28.25,-14.21,-53.41,-54.52,-9.54,-28.09,-19.18,
18.39,-45.82,-39.49,-17.10,-28.08,-36.96,-10.78,-41.47,-27.69,18.40,-29.88,-27.62,-17.10,-46.46,-50.74,-10.78,-27.40,-16.96,
20.14,-40.53,-35.22,-19.32,-27.76,-37.37,-11.64,-36.29,-22.65,20.15,-29.82,-27.09,-19.32,-40.03,-46.79,-11.64,-26.82,-15.27,
21.26,-36.03,-31.53,-20.80,-27.55,-37.60,-12.18,-31.96,-18.54,21.27,-29.77,-26.72,-20.80,-34.65,-43.17,-12.18,-26.41,-14.13,
21.86,-32.60,-28.71,-21.62,-27.44,-37.72,-12.46,-28.71,-15.55,21.87,-29.74,-26.51,-21.62,-30.66,-40.29,-12.47,-26.18,-13.50,
22.08,-30.46,-26.96,-21.93,-27.40,-37.77,-12.57,-26.72,-13.78,22.09,-29.73,-26.43,-21.93,-28.21,-38.42,-12.57,-26.09,-13.26,
22.11,-29.73,-26.37,-21.98,-27.39,-37.77,-12.59,-26.05,-13.21,22.12,-29.73,-26.42,-21.98,-27.39,-37.77,-12.59,-26.07,-13.23,
22.08,-29.73,-26.39,-21.93,-28.21,-38.42,-12.57,-26.07,-13.25,22.09,-30.46,-27.01,-21.93,-27.40,-37.77,-12.57,-26.74,-13.79,
21.86,-29.74,-26.47,-21.62,-30.66,-40.29,-12.47,-26.16,-13.49,21.87,-32.61,-28.76,-21.62,-27.44,-37.72,-12.47,-28.73,-15.56,
21.26,-29.77,-26.68,-20.80,-34.65,-43.17,-12.18,-26.39,-14.11,21.27,-36.04,-31.58,-20.80,-27.55,-37.60,-12.18,-31.97,-18.55,
20.14,-29.82,-27.05,-19.32,-40.03,-46.79,-11.64,-26.80,-15.25,20.15,-40.55,-35.27,-19.32,-27.76,-37.37,-11.64,-36.30,-22.66,
18.39,-29.87,-27.58,-17.10,-46.46,-50.74,-10.78,-27.38,-16.95,18.40,-45.84,-39.55,-17.10,-28.08,-36.96,-10.78,-41.47,-27.69,
15.94,-29.93,-28.22,-14.21,-53.41,-54.52,-9.54,-28.08,-19.17,15.94,-51.55,-44.07,-14.21,-28.51,-36.32,-9.54,-47.20,-33.40,
12.77,-29.97,-28.88,-10.81,-59.97,-57.48,-7.87,-28.80,-21.78,12.77,-57.16,-48.41,-10.81,-29.01,-35.37,-7.87,-53.11,-39.46,
8.94,-29.99,-29.46,-7.14,-64.94,-58.90,-5.72,-29.43,-24.60,8.94,-62.04,-52.10,-7.14,-29.50,-34.02,-5.72,-58.75,-45.49,
4.61,-30.00,-29.85,-3.46,-67.27,-58.24,-3.09,-29.85,-27.41,4.61,-65.44,-54.61,-3.46,-29.86,-32.23,-3.09,-63.51,-51.01,
-0.00,-30.00,-30.00,-0.00,-66.63,-55.47,0.00,-30.00,-30.00,-0.00,-66.66,-55.51,-0.00,-30.00,-30.00,0.00,-66.63,-55.47,
-4.61,-30.00,-29.87,3.09,-63.51,-51.01,3.46,-29.86,-32.23,-4.61,-65.44,-54.61,3.09,-29.86,-27.41,3.46,-67.27,-58.24,
-8.95,-29.99,-29.49,5.72,-58.74,-45.48,7.14,-29.50,-34.02,-8.94,-62.04,-52.10,5.72,-29.44,-24.60,7.14,-64.94,-58.89,
-12.78,-29.98,-28.93,7.87,-53.11,-39.45,10.81,-29.02,-35.37,-12.77,-57.16,-48.42,7.87,-28.81,-21.79,10.81,-59.97,-57.47,
-15.95,-29.94,-28.29,9.54,-47.19,-33.39,14.21,-28.52,-36.32,-15.95,-51.55,-44.08,9.54,-28.09,-19.18,14.21,-53.41,-54.51,
-18.41,-29.88,-27.67,10.78,-41.47,-27.69,17.10,-28.10,-36.97,-18.40,-45.84,-39.56,10.78,-27.39,-16.96,17.10,-46.47,-50.74,
-20.16,-29.83,-27.15,11.64,-36.30,-22.65,19.31,-27.78,-37.37,-20.16,-40.55,-35.28,11.64,-26.81,-15.26,19.32,-40.03,-46.78,
-21.28,-29.78,-26.78,12.18,-31.97,-18.54,20.80,-27.57,-37.61,-21.27,-36.04,-31.59,12.18,-26.41,-14.12,20.80,-34.66,-43.17,
-21.88,-29.76,-26.57,12.47,-28.73,-15.55,21.61,-27.46,-37.73,-21.87,-32.61,-28.77,12.47,-26.17,-13.49,21.61,-30.66,-40.28,
-22.10,-29.75,-26.49,12.57,-26.74,-13.78,21.92,-27.42,-37.77,-22.09,-30.46,-27.02,12.57,-26.08,-13.25,21.93,-28.22,-38.41,
-22.14,-29.74,-26.48,12.59,-26.07,-13.22,21.97,-27.41,-37.78,-22.13,-29.73,-26.43,12.59,-26.07,-13.22,21.97,-27.40,-37.77,
